<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20100101;00:00;86.5600000;92.4900000;84.1000000;88.4100000;2709780488
20100201;00:00;87.6100000;89.8000000;73.2300000;76.3000000;4009732733
20100301;00:00;77.0000000;90.9200000;76.7100000;85.8000000;4752833434
20100401;00:00;86.4100000;90.2700000;77.8200000;78.6000000;3275071453
20100501;00:00;79.1900000;84.7300000;63.8100000;71.0000000;6102825681
20100601;00:00;70.4300000;84.5600000;67.4000000;76.5000000;5090215722
20100701;00:00;75.1000000;86.7000000;71.5000000;84.5600000;4743201026
20100801;00:00;85.4000000;86.9000000;73.5500000;78.3100000;3524131114
20100901;00:00;78.5500000;86.1500000;77.6000000;86.0800000;3288777858
20101001;00:00;85.9400000;104.4400000;85.7200000;101.3600000;4030289811
20101101;00:00;102.3400000;106.4700000;94.7700000;101.5100000;3705040507
20101201;00:00;102.1200000;108.9000000;101.6000000;104.1800000;2865834159
20110101;00:00;104.9900000;110.9500000;102.5000000;105.9000000;2375765759
20110201;00:00;106.4500000;107.3500000;95.5000000;102.1000000;3502468312
20110301;00:00;102.5100000;107.9500000;93.7100000;106.6500000;4306460100
20110401;00:00;106.7300000;109.7600000;99.2600000;100.0000000;3056353990
20110501;00:00;99.9000000;100.1700000;91.5000000;97.5900000;2893923410
20110601;00:00;98.0000000;100.2500000;93.2600000;100.0000000;2718241380
20110701;00:00;100.0500000;107.7000000;99.8400000;101.7500000;3491340390
20110801;00:00;103.1100000;104.1000000;75.5800000;84.9300000;6734159520
20110901;00:00;84.7000000;85.6000000;66.0200000;70.4400000;6818859290
20111001;00:00;68.3600000;86.9500000;60.9100000;81.8800000;8961852720
20111101;00:00;80.7300000;87.6900000;73.7500000;87.5500000;7345270670
20111201;00:00;88.6400000;91.2800000;77.2000000;79.4000000;5237200880
20120101;00:00;80.1200000;91.2800000;80.1200000;90.1700000;3961657210
20120201;00:00;89.7400000;100.4000000;89.1700000;100.1900000;3504556390
20120301;00:00;99.4800000;103.8500000;93.4000000;94.8600000;3726481890
20120401;00:00;95.4000000;98.2300000;91.1400000;93.9500000;2980466930
20120501;00:00;94.4200000;95.6900000;75.3000000;81.6900000;3737546670
20120601;00:00;81.6000000;87.2600000;76.2500000;86.3900000;2602977770
20120701;00:00;86.1900000;92.9000000;83.0100000;89.7300000;2569631270
20120801;00:00;89.5000000;95.4800000;87.4000000;93.1600000;2432303130
20120901;00:00;93.2100000;98.0900000;89.4500000;90.9900000;2553811370
20121001;00:00;90.6100000;94.3800000;90.6100000;91.7900000;1680809130
20121101;00:00;91.6000000;92.6400000;83.7500000;91.4100000;1719908200
20121201;00:00;91.4500000;96.0300000;90.8400000;92.9400000;1187771510
20130101;00:00;96.5000000;109.6400000;96.1200000;109.5900000;1717876500
20130201;00:00;109.5700000;111.5000000;102.8500000;104.5700000;1607734960
20130301;00:00;104.0000000;107.4800000;95.3500000;98.8600000;1684862620
20130401;00:00;98.2300000;103.7400000;93.7000000;99.1100000;1572978800
20130501;00:00;98.1000000;111.4400000;97.7500000;99.0500000;1503304350
20130601;00:00;97.7900000;101.5000000;88.5400000;93.6800000;1600335140
20130701;00:00;93.8400000;101.5000000;90.7500000;95.2300000;1714847850
20130801;00:00;95.9200000;98.2500000;87.7500000;88.2300000;1410915240
20130901;00:00;88.9200000;103.6300000;88.5300000;97.8600000;1913041420
20131001;00:00;97.8000000;105.9500000;97.2700000;102.7400000;1922375600
20131101;00:00;102.7200000;106.8000000;101.1100000;103.0700000;1648265330
20131201;00:00;103.0900000;103.6600000;97.8800000;101.1700000;1552720420
20140101;00:00;100.2000000;102.9200000;94.4000000;94.7000000;1416546260
20140201;00:00;94.9400000;98.0800000;88.8700000;91.1600000;1498988450
20140301;00:00;85.4300000;86.8400000;65.3300000;83.8000000;4869429400
20140401;00:00;84.0200000;84.6800000;67.9000000;72.5000000;4008357370
20140501;00:00;71.9900000;87.6200000;70.8900000;84.5000000;2999152890
20140601;00:00;84.8000000;89.6000000;83.0300000;84.5000000;2006702160
20140701;00:00;84.4500000;86.6900000;71.8600000;73.6000000;2547722140
20140801;00:00;72.8800000;79.6900000;66.1000000;73.2100000;3074060260
20140901;00:00;73.5000000;81.3000000;72.5200000;75.5200000;2888372340
