<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20100111;00:00;8440.0000000;8840.0000000;8440.0000000;8695.0000000;212946
20100112;00:00;8693.0000000;8700.0000000;8458.0000000;8474.0000000;272973
20100113;00:00;8471.0000000;8785.0000000;8438.0000000;8771.0000000;264813
20100114;00:00;8763.0000000;8807.0000000;8700.0000000;8789.0000000;218338
20100115;00:00;8785.0000000;8884.0000000;8750.0000000;8820.0000000;274296
20100118;00:00;8810.0000000;9100.0000000;8793.0000000;9092.0000000;298275
20100119;00:00;9092.0000000;9330.0000000;8906.0000000;9320.0000000;520676
20100120;00:00;9316.0000000;9316.0000000;9055.0000000;9125.0000000;448810
20100121;00:00;9128.0000000;9200.0000000;8871.0000000;8878.0000000;526317
20100122;00:00;8883.0000000;8957.0000000;8586.0000000;8591.0000000;589368
20100125;00:00;8620.0000000;8919.0000000;8590.0000000;8847.0000000;502641
20100126;00:00;8843.0000000;8843.0000000;8551.0000000;8615.0000000;542315
20100127;00:00;8603.0000000;8840.0000000;8561.0000000;8779.0000000;514178
20100128;00:00;8796.0000000;8917.0000000;8657.0000000;8732.0000000;445316
20100129;00:00;8725.0000000;8919.0000000;8665.0000000;8763.0000000;426899
20100201;00:00;8770.0000000;8875.0000000;8720.0000000;8875.0000000;311440
20100202;00:00;8875.0000000;8886.0000000;8762.0000000;8876.0000000;258816
20100203;00:00;8878.0000000;9011.0000000;8829.0000000;8854.0000000;366599
20100204;00:00;8852.0000000;8872.0000000;8360.0000000;8375.0000000;436804
20100205;00:00;8378.0000000;8460.0000000;8137.0000000;8384.0000000;803868
20100208;00:00;8381.0000000;8443.0000000;7937.0000000;7983.0000000;682282
20100209;00:00;7985.0000000;8148.0000000;7853.0000000;8145.0000000;673070
20100210;00:00;8138.0000000;8375.0000000;7984.0000000;8228.0000000;655575
20100211;00:00;8235.0000000;8412.0000000;8186.0000000;8380.0000000;626568
20100212;00:00;8380.0000000;8386.0000000;7955.0000000;8077.0000000;525717
20100215;00:00;8075.0000000;8163.0000000;7976.0000000;8074.0000000;232922
20100216;00:00;8075.0000000;8427.0000000;8075.0000000;8415.0000000;347085
20100217;00:00;8419.0000000;8419.0000000;8236.0000000;8305.0000000;355501
20100218;00:00;8291.0000000;8291.0000000;7869.0000000;8089.0000000;593196
20100219;00:00;8083.0000000;8083.0000000;7683.0000000;8000.0000000;570894
20100224;00:00;7977.0000000;7998.0000000;7566.0000000;7695.0000000;424328
20100225;00:00;7690.0000000;7690.0000000;7331.0000000;7570.0000000;555503
20100226;00:00;7574.0000000;7622.0000000;7462.0000000;7540.0000000;387113
20100227;00:00;7542.0000000;7668.0000000;7505.0000000;7638.0000000;120264
20100301;00:00;7641.0000000;8069.0000000;7641.0000000;8040.0000000;561672
20100302;00:00;8035.0000000;8312.0000000;7996.0000000;8215.0000000;562918
20100303;00:00;8218.0000000;8371.0000000;8097.0000000;8315.0000000;483567
20100304;00:00;8309.0000000;8367.0000000;8145.0000000;8338.0000000;456812
20100305;00:00;8338.0000000;8772.0000000;8338.0000000;8753.0000000;497344
20100309;00:00;8763.0000000;9020.0000000;8650.0000000;8940.0000000;524180
20100310;00:00;8992.0000000;9050.0000000;8731.0000000;8807.0000000;87908
20100311;00:00;8775.0000000;8924.0000000;8700.0000000;8820.0000000;172508
20100312;00:00;8820.0000000;9046.0000000;8818.0000000;8954.0000000;430361
20100315;00:00;8953.0000000;9026.0000000;8823.0000000;8885.0000000;408011
20100316;00:00;8885.0000000;9030.0000000;8827.0000000;9022.0000000;380660
20100317;00:00;9025.0000000;9111.0000000;8945.0000000;9049.0000000;359651
20100318;00:00;9031.0000000;9166.0000000;8909.0000000;9060.0000000;452628
20100319;00:00;9060.0000000;9118.0000000;8844.0000000;8861.0000000;406466
20100322;00:00;8848.0000000;8848.0000000;8655.0000000;8795.0000000;430892
20100323;00:00;8789.0000000;8798.0000000;8577.0000000;8709.0000000;436460
20100324;00:00;8707.0000000;8804.0000000;8531.0000000;8732.0000000;587828
20100325;00:00;8743.0000000;8800.0000000;8580.0000000;8586.0000000;413571
20100326;00:00;8608.0000000;8705.0000000;8418.0000000;8481.0000000;434583
20100329;00:00;8481.0000000;8665.0000000;8454.0000000;8610.0000000;372861
20100330;00:00;8612.0000000;8723.0000000;8484.0000000;8568.0000000;373735
20100331;00:00;8560.0000000;8768.0000000;8493.0000000;8610.0000000;538933
20100401;00:00;8619.0000000;8858.0000000;8619.0000000;8842.0000000;392148
20100402;00:00;8842.0000000;8936.0000000;8787.0000000;8850.0000000;287966
20100405;00:00;8850.0000000;8913.0000000;8783.0000000;8905.0000000;301379
20100406;00:00;8904.0000000;8939.0000000;8726.0000000;8877.0000000;358963
20100407;00:00;8875.0000000;8916.0000000;8592.0000000;8602.0000000;373389
20100408;00:00;8601.0000000;8606.0000000;8455.0000000;8565.0000000;354103
20100409;00:00;8569.0000000;8805.0000000;8542.0000000;8707.0000000;349929
20100412;00:00;8709.0000000;8821.0000000;8608.0000000;8651.0000000;340630
20100413;00:00;8644.0000000;8844.0000000;8586.0000000;8827.0000000;382638
20100414;00:00;8835.0000000;9008.0000000;8809.0000000;9000.0000000;332960
20100415;00:00;9005.0000000;9050.0000000;8875.0000000;8901.0000000;348149
20100416;00:00;8900.0000000;8995.0000000;8615.0000000;8652.0000000;463163
20100419;00:00;8650.0000000;8650.0000000;8311.0000000;8625.0000000;599871
20100420;00:00;8635.0000000;8776.0000000;8572.0000000;8735.0000000;483455
20100421;00:00;8739.0000000;8830.0000000;8526.0000000;8566.0000000;475925
20100422;00:00;8562.0000000;8676.0000000;8365.0000000;8586.0000000;607429
20100423;00:00;8575.0000000;8645.0000000;8385.0000000;8550.0000000;564937
20100426;00:00;8551.0000000;8629.0000000;8465.0000000;8473.0000000;365880
20100427;00:00;8468.0000000;8482.0000000;8165.0000000;8168.0000000;518992
20100428;00:00;8166.0000000;8188.0000000;7890.0000000;8036.0000000;793404
20100429;00:00;8037.0000000;8159.0000000;7982.0000000;8154.0000000;437782
20100430;00:00;8145.0000000;8184.0000000;7833.0000000;7892.0000000;494309
20100504;00:00;7924.0000000;8054.0000000;7545.0000000;7552.0000000;672686
20100505;00:00;7551.0000000;7768.0000000;7379.0000000;7506.0000000;749801
20100506;00:00;7504.0000000;7730.0000000;6950.0000000;7034.0000000;810903
20100507;00:00;7056.0000000;7285.0000000;6924.0000000;7085.0000000;996875
20100511;00:00;7087.0000000;7691.0000000;7087.0000000;7570.0000000;852657
20100512;00:00;7561.0000000;8299.0000000;7432.0000000;8255.0000000;1165487
20100513;00:00;8256.0000000;8499.0000000;7959.0000000;8028.0000000;1220737
20100514;00:00;8028.0000000;8085.0000000;7656.0000000;7714.0000000;876512
20100517;00:00;7710.0000000;7770.0000000;7495.0000000;7701.0000000;948810
20100518;00:00;7701.0000000;7856.0000000;7577.0000000;7599.0000000;968629
20100519;00:00;7590.0000000;7614.0000000;7326.0000000;7509.0000000;989823
20100520;00:00;7495.0000000;7540.0000000;6914.0000000;7010.0000000;1241815
20100521;00:00;7015.0000000;7169.0000000;6716.0000000;7026.0000000;1340830
20100524;00:00;7034.0000000;7181.0000000;6910.0000000;6982.0000000;889667
20100525;00:00;6975.0000000;6975.0000000;6401.0000000;6624.0000000;910144
20100526;00:00;6624.0000000;6932.0000000;6570.0000000;6750.0000000;1089882
20100527;00:00;6757.0000000;7165.0000000;6757.0000000;7155.0000000;1061098
20100528;00:00;7145.0000000;7204.0000000;6892.0000000;6950.0000000;722881
20100531;00:00;6950.0000000;7140.0000000;6950.0000000;7119.0000000;294762
20100601;00:00;7115.0000000;7158.0000000;6807.0000000;6988.0000000;757482
20100602;00:00;6985.0000000;7197.0000000;6898.0000000;7186.0000000;723954
20100603;00:00;7193.0000000;7339.0000000;7122.0000000;7210.0000000;591101
20100604;00:00;7223.0000000;7361.0000000;6881.0000000;6883.0000000;774962
20100607;00:00;6881.0000000;7168.0000000;6711.0000000;7024.0000000;704816
20100608;00:00;7025.0000000;7250.0000000;7015.0000000;7217.0000000;623586
20100609;00:00;7207.0000000;7244.0000000;7070.0000000;7185.0000000;440128
20100610;00:00;7189.0000000;7429.0000000;7117.0000000;7421.0000000;549960
20100611;00:00;7415.0000000;7432.0000000;7175.0000000;7289.0000000;583004
20100615;00:00;7290.0000000;7765.0000000;7257.0000000;7746.0000000;549827
20100616;00:00;7750.0000000;7805.0000000;7573.0000000;7744.0000000;619821
20100617;00:00;7733.0000000;8012.0000000;7650.0000000;7915.0000000;992175
20100618;00:00;7918.0000000;8096.0000000;7785.0000000;8057.0000000;659976
20100621;00:00;8059.0000000;8489.0000000;8059.0000000;8315.0000000;550034
20100622;00:00;8311.0000000;8425.0000000;8146.0000000;8196.0000000;681045
20100623;00:00;8208.0000000;8344.0000000;8105.0000000;8194.0000000;560918
20100624;00:00;8200.0000000;8245.0000000;8020.0000000;8039.0000000;600444
20100625;00:00;8047.0000000;8079.0000000;7750.0000000;7914.0000000;701112
20100628;00:00;7900.0000000;8142.0000000;7863.0000000;8076.0000000;571276
20100629;00:00;8070.0000000;8070.0000000;7687.0000000;7720.0000000;589075
20100630;00:00;7728.0000000;7880.0000000;7591.0000000;7600.0000000;796612
20100701;00:00;7590.0000000;7590.0000000;7197.0000000;7301.0000000;806770
20100702;00:00;7310.0000000;7430.0000000;7196.0000000;7390.0000000;764382
20100705;00:00;7380.0000000;7415.0000000;7295.0000000;7327.0000000;346127
20100706;00:00;7340.0000000;7705.0000000;7340.0000000;7595.0000000;688779
20100707;00:00;7585.0000000;7884.0000000;7430.0000000;7876.0000000;758218
20100708;00:00;7875.0000000;7978.0000000;7719.0000000;7845.0000000;580940
20100709;00:00;7859.0000000;7887.0000000;7630.0000000;7815.0000000;510139
20100712;00:00;7814.0000000;8061.0000000;7741.0000000;8025.0000000;610804
20100713;00:00;8022.0000000;8335.0000000;7933.0000000;8305.0000000;696213
20100714;00:00;8318.0000000;8369.0000000;8152.0000000;8203.0000000;643696
20100715;00:00;8210.0000000;8453.0000000;8061.0000000;8178.0000000;805669
20100716;00:00;8177.0000000;8227.0000000;7857.0000000;7867.0000000;773511
20100719;00:00;7868.0000000;8182.0000000;7856.0000000;8121.0000000;579917
20100720;00:00;8121.0000000;8196.0000000;7896.0000000;8127.0000000;691152
20100721;00:00;8122.0000000;8260.0000000;8065.0000000;8130.0000000;666488
20100722;00:00;8110.0000000;8445.0000000;8090.0000000;8380.0000000;648122
20100723;00:00;8390.0000000;8446.0000000;8258.0000000;8393.0000000;661978
20100726;00:00;8399.0000000;8494.0000000;8340.0000000;8460.0000000;524235
20100727;00:00;8450.0000000;8600.0000000;8381.0000000;8491.0000000;520624
20100728;00:00;8507.0000000;8583.0000000;8405.0000000;8442.0000000;509724
20100729;00:00;8447.0000000;8698.0000000;8447.0000000;8623.0000000;479301
20100730;00:00;8618.0000000;8644.0000000;8335.0000000;8491.0000000;605201
20100802;00:00;8505.0000000;8744.0000000;8505.0000000;8722.0000000;443859
20100803;00:00;8722.0000000;8724.0000000;8570.0000000;8590.0000000;390479
20100804;00:00;8590.0000000;8697.0000000;8490.0000000;8627.0000000;509305
20100805;00:00;8625.0000000;8645.0000000;8413.0000000;8469.0000000;479789
20100806;00:00;8470.0000000;8530.0000000;8217.0000000;8300.0000000;442166
20100809;00:00;8304.0000000;8442.0000000;8304.0000000;8404.0000000;347998
20100810;00:00;8391.0000000;8408.0000000;8180.0000000;8374.0000000;484991
20100811;00:00;8364.0000000;8364.0000000;8055.0000000;8080.0000000;483650
20100812;00:00;8074.0000000;8190.0000000;8007.0000000;8127.0000000;572677
20100813;00:00;8130.0000000;8250.0000000;8011.0000000;8087.0000000;523330
20100816;00:00;8088.0000000;8161.0000000;7920.0000000;8034.0000000;506548
20100817;00:00;8035.0000000;8198.0000000;8002.0000000;8186.0000000;460662
20100818;00:00;8179.0000000;8179.0000000;7999.0000000;8100.0000000;437496
20100819;00:00;8104.0000000;8197.0000000;7925.0000000;7949.0000000;475176
20100820;00:00;7944.0000000;8008.0000000;7820.0000000;7889.0000000;523620
20100823;00:00;7889.0000000;7912.0000000;7742.0000000;7780.0000000;546650
20100824;00:00;7774.0000000;7774.0000000;7533.0000000;7577.0000000;608336
20100825;00:00;7570.0000000;7662.0000000;7375.0000000;7512.0000000;677949
20100826;00:00;7512.0000000;7688.0000000;7468.0000000;7621.0000000;707417
20100827;00:00;7615.0000000;7785.0000000;7535.0000000;7785.0000000;774930
20100830;00:00;7785.0000000;7841.0000000;7686.0000000;7686.0000000;407247
20100831;00:00;7685.0000000;7876.0000000;7574.0000000;7802.0000000;596133
20100901;00:00;7808.0000000;8095.0000000;7767.0000000;8093.0000000;612669
20100902;00:00;8084.0000000;8132.0000000;8003.0000000;8091.0000000;584169
20100903;00:00;8091.0000000;8244.0000000;8038.0000000;8203.0000000;467580
20100906;00:00;8212.0000000;8245.0000000;8160.0000000;8195.0000000;208289
20100907;00:00;8185.0000000;8220.0000000;7962.0000000;7977.0000000;442761
20100908;00:00;7976.0000000;8296.0000000;7933.0000000;8208.0000000;583632
20100909;00:00;8205.0000000;8455.0000000;8200.0000000;8336.0000000;631094
20100910;00:00;8381.0000000;8471.0000000;8325.0000000;8394.0000000;39700
20100913;00:00;8394.0000000;8565.0000000;8394.0000000;8501.0000000;196283
20100914;00:00;8501.0000000;8633.0000000;8390.0000000;8461.0000000;473219
20100915;00:00;8467.0000000;8540.0000000;8360.0000000;8516.0000000;474313
20100916;00:00;8515.0000000;8515.0000000;8305.0000000;8350.0000000;578073
20100917;00:00;8354.0000000;8436.0000000;8236.0000000;8280.0000000;412263
20100920;00:00;8282.0000000;8432.0000000;8207.0000000;8413.0000000;531111
20100921;00:00;8410.0000000;8474.0000000;8353.0000000;8373.0000000;461038
20100922;00:00;8375.0000000;8427.0000000;8288.0000000;8321.0000000;626756
20100923;00:00;8323.0000000;8478.0000000;8309.0000000;8406.0000000;610919
20100924;00:00;8410.0000000;8546.0000000;8402.0000000;8525.0000000;547296
20100927;00:00;8528.0000000;8586.0000000;8377.0000000;8415.0000000;488918
20100928;00:00;8413.0000000;8436.0000000;8296.0000000;8394.0000000;521038
20100929;00:00;8390.0000000;8496.0000000;8362.0000000;8450.0000000;463770
20100930;00:00;8450.0000000;8648.0000000;8376.0000000;8618.0000000;645329
20101001;00:00;8619.0000000;9024.0000000;8606.0000000;9010.0000000;1137574
20101004;00:00;9002.0000000;9117.0000000;8935.0000000;8973.0000000;876937
20101005;00:00;8983.0000000;9318.0000000;8983.0000000;9296.0000000;642945
20101006;00:00;9299.0000000;9340.0000000;9114.0000000;9179.0000000;706002
20101007;00:00;9171.0000000;9215.0000000;9012.0000000;9043.0000000;670984
20101008;00:00;9049.0000000;9148.0000000;8965.0000000;9140.0000000;648773
20101011;00:00;9135.0000000;9340.0000000;9121.0000000;9198.0000000;334859
20101012;00:00;9189.0000000;9213.0000000;9051.0000000;9206.0000000;562902
20101013;00:00;9201.0000000;9298.0000000;9120.0000000;9180.0000000;684398
20101014;00:00;9181.0000000;9291.0000000;9067.0000000;9110.0000000;646688
20101015;00:00;9111.0000000;9330.0000000;9096.0000000;9277.0000000;694679
