<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20100101;00:00;8440.0000000;9330.0000000;8438.0000000;8763.0000000;6058161
20100201;00:00;8770.0000000;9011.0000000;7331.0000000;7638.0000000;8927545
20100301;00:00;7641.0000000;9166.0000000;7641.0000000;8610.0000000;9373549
20100401;00:00;8619.0000000;9050.0000000;7833.0000000;7892.0000000;9627401
20100501;00:00;7924.0000000;8499.0000000;6401.0000000;7119.0000000;17803999
20100601;00:00;7115.0000000;8489.0000000;6711.0000000;7600.0000000;13621308
20100701;00:00;7590.0000000;8698.0000000;7196.0000000;8491.0000000;13871990
20100801;00:00;8505.0000000;8744.0000000;7375.0000000;7802.0000000;11400408
20100901;00:00;7808.0000000;8648.0000000;7767.0000000;8618.0000000;10600220
20101001;00:00;8619.0000000;10466.0000000;8606.0000000;10160.0000000;17142822
20101101;00:00;10166.0000000;10750.0000000;9454.0000000;10136.0000000;15765545
20101201;00:00;10140.0000000;10902.0000000;10140.0000000;10590.0000000;10118053
20110101;00:00;10595.0000000;11168.0000000;10335.0000000;10694.0000000;9200425
20110201;00:00;10698.0000000;10760.0000000;9579.0000000;10207.0000000;14601181
20110301;00:00;10212.0000000;10798.0000000;9351.0000000;10657.0000000;16127805
20110401;00:00;10655.0000000;10982.0000000;9982.0000000;10076.0000000;13446463
20110501;00:00;10076.0000000;10076.0000000;9151.0000000;9832.0000000;14418055
20110601;00:00;9838.0000000;10112.0000000;9346.0000000;10087.0000000;11571165
20110701;00:00;10083.0000000;10865.0000000;10060.0000000;10277.0000000;12777169
20110801;00:00;10279.0000000;10459.0000000;7585.0000000;8462.0000000;26309988
20110901;00:00;8469.0000000;8605.0000000;6672.0000000;6989.0000000;20870126
20111001;00:00;6982.0000000;8818.0000000;6168.0000000;8193.0000000;27055713
20111101;00:00;8186.0000000;9168.0000000;7401.0000000;9017.0000000;25100367
20111201;00:00;9015.0000000;9149.0000000;7812.0000000;8044.0000000;16919566
20120101;00:00;8047.0000000;9206.0000000;8047.0000000;9033.0000000;12225208
20120201;00:00;9032.0000000;10075.0000000;8969.0000000;9987.0000000;11870717
20120301;00:00;9985.0000000;10337.0000000;9269.0000000;9433.0000000;12056778
20120401;00:00;9446.0000000;9737.0000000;9202.0000000;9481.0000000;14490493
20120501;00:00;9490.0000000;9644.0000000;7592.0000000;8224.0000000;20691201
20120601;00:00;8216.0000000;8845.0000000;7658.0000000;8725.0000000;12616362
20120701;00:00;8720.0000000;9380.0000000;8387.0000000;8999.0000000;12641118
20120801;00:00;8995.0000000;9569.0000000;8800.0000000;9327.0000000;11349813
20120901;00:00;9324.0000000;9903.0000000;9045.0000000;9205.0000000;9253896
20121001;00:00;9205.0000000;9520.0000000;9148.0000000;9251.0000000;10237512
20121101;00:00;9247.0000000;9340.0000000;8421.0000000;9132.0000000;10923376
20121201;00:00;9133.0000000;9715.0000000;9099.0000000;9454.0000000;5432822
20130101;00:00;9462.0000000;11038.0000000;9462.0000000;11025.0000000;8690412
20130201;00:00;11025.0000000;11174.0000000;10291.0000000;10476.0000000;15402798
20130301;00:00;10468.0000000;10629.0000000;9422.0000000;9759.0000000;13258708
20130401;00:00;9758.0000000;10178.0000000;9455.0000000;10036.0000000;14731232
20130501;00:00;10030.0000000;11192.0000000;9773.0000000;9791.0000000;14234651
20130601;00:00;9773.0000000;10175.0000000;8955.0000000;9466.0000000;12807810
20130701;00:00;9469.0000000;10269.0000000;9176.0000000;9642.0000000;14653565
20130801;00:00;9647.0000000;9885.0000000;8790.0000000;8809.0000000;11839264
20130901;00:00;8815.0000000;10498.0000000;8815.0000000;9872.0000000;10843721
20131001;00:00;9873.0000000;10683.0000000;9836.0000000;10340.0000000;11379501
20131101;00:00;10339.0000000;10716.0000000;10154.0000000;10331.0000000;10366631
20131201;00:00;10330.0000000;10404.0000000;9792.0000000;10255.0000000;7743533
20140101;00:00;10254.0000000;10363.0000000;9504.0000000;9606.0000000;8925213
20140201;00:00;9598.0000000;9855.0000000;8910.0000000;9108.0000000;9879760
20140301;00:00;9104.0000000;9104.0000000;6322.0000000;8302.0000000;17090796
20140401;00:00;8305.0000000;8409.0000000;6569.0000000;7004.0000000;19868327
20140501;00:00;6997.0000000;8505.0000000;6856.0000000;8226.0000000;14533960
20140601;00:00;8226.0000000;8820.0000000;7902.0000000;8481.0000000;10405442
20140701;00:00;8487.0000000;8779.0000000;7279.0000000;7350.0000000;14117191
20140801;00:00;7350.0000000;8000.0000000;6673.0000000;7301.0000000;16130739
20140901;00:00;7323.0000000;8144.0000000;7275.0000000;7641.0000000;15855542
20141001;00:00;7640.0000000;7777.0000000;7177.0000000;7651.0000000;17237482
20141101;00:00;7655.0000000;7937.0000000;7177.0000000;7250.0000000;11195241
20141201;00:00;7243.0000000;7488.0000000;5004.0000000;5582.0000000;19651454
20150101;00:00;5562.0000000;6880.0000000;5496.0000000;6308.0000000;12725585
20150201;00:00;6319.0000000;8134.0000000;6070.0000000;7692.0000000;19595829
20150301;00:00;7690.0000000;7790.0000000;6125.0000000;6322.0000000;16172963
20150401;00:00;6320.0000000;7857.0000000;6280.0000000;7754.0000000;21119550
20150501;00:00;7757.0000000;8177.0000000;7145.0000000;7357.0000000;14949757
20150601;00:00;7360.0000000;7664.0000000;6801.0000000;7411.0000000;13684152
20150701;00:00;7412.0000000;7760.0000000;6810.0000000;7268.0000000;17985453
20150801;00:00;7267.0000000;7650.0000000;6724.0000000;7536.0000000;17057615
20150901;00:00;7534.0000000;8005.0000000;7225.0000000;7744.0000000;12762525
20151001;00:00;7746.0000000;9400.0000000;7463.0000000;9155.0000000;18118491
20151101;00:00;9137.0000000;11133.0000000;9080.0000000;10323.0000000;20214792
20151201;00:00;10335.0000000;10799.0000000;9708.0000000;10325.0000000;14321914
20160101;00:00;10323.0000000;10383.0000000;8373.0000000;9802.0000000;16144656
20160201;00:00;9797.0000000;10807.0000000;9351.0000000;10698.0000000;17484515
20160301;00:00;10702.0000000;11508.0000000;10569.0000000;10989.0000000;13268599
20160401;00:00;10977.0000000;12572.0000000;10645.0000000;12359.0000000;17176114
20160501;00:00;12325.0000000;13496.0000000;11799.0000000;13151.0000000;13914585
20160601;00:00;13135.0000000;14189.0000000;12789.0000000;13570.0000000;16034482
20160701;00:00;13552.0000000;14370.0000000;13037.0000000;14131.0000000;14927172
20160801;00:00;14132.0000000;14645.0000000;13561.0000000;14423.0000000;13147522
20160901;00:00;14425.0000000;15788.0000000;14421.0000000;14837.0000000;11574663
20161001;00:00;14842.0000000;15519.0000000;14800.0000000;14996.0000000;8745870
20161101;00:00;15007.0000000;16429.0000000;14296.0000000;15981.0000000;10229918
20161201;00:00;15995.0000000;18624.0000000;15774.0000000;17553.0000000;8538609
20170101;00:00;17555.0000000;18519.0000000;16608.0000000;17470.0000000;8754681
20170201;00:00;17485.0000000;17730.0000000;15651.0000000;15720.0000000;8306214
20170301;00:00;15723.0000000;16665.0000000;15564.0000000;15910.0000000;8647889
20170401;00:00;15915.0000000;16776.0000000;14603.0000000;16270.0000000;10657731
20170501;00:00;16269.0000000;16864.0000000;15050.0000000;15150.0000000;9293143
20170601;00:00;15173.0000000;15407.0000000;13954.0000000;15015.0000000;10981480
20170701;00:00;15001.0000000;16954.0000000;14929.0000000;16706.0000000;10754619
20170801;00:00;16720.0000000;18745.0000000;16719.0000000;18440.0000000;10649542
20170901;00:00;18453.0000000;19916.0000000;18184.0000000;19612.0000000;6166337
20171001;00:00;19619.0000000;20185.0000000;19268.0000000;19660.0000000;8598728
20171101;00:00;19671.0000000;23569.0000000;19452.0000000;22506.0000000;13853868
20171201;00:00;22544.0000000;23444.0000000;21977.0000000;22784.0000000;4674769
20180101;00:00;22850.0000000;26842.0000000;22850.0000000;26766.0000000;7123916
20180201;00:00;26760.0000000;28625.0000000;24611.0000000;27258.0000000;10198113
20180301;00:00;27253.0000000;28217.0000000;25200.0000000;25677.0000000;9053722
20180401;00:00;25674.0000000;26368.0000000;19370.0000000;22733.0000000;15288718
20180501;00:00;22741.0000000;23998.0000000;21820.0000000;22182.0000000;8093107
20180601;00:00;22197.0000000;22368.0000000;19542.0000000;22160.0000000;5890347
20180701;00:00;22160.0000000;23570.0000000;20386.0000000;21613.0000000;10143533
20180801;00:00;21609.0000000;21750.0000000;17290.0000000;18181.0000000;15950450
20180901;00:00;18205.0000000;20946.0000000;16942.0000000;20636.0000000;8734861
20181001;00:00;20641.0000000;20994.0000000;17930.0000000;19148.0000000;19329014
20181101;00:00;19148.0000000;20630.0000000;18668.0000000;19631.0000000;15080380
20181201;00:00;19655.0000000;20280.0000000;17000.0000000;18920.0000000;6505804
20190101;00:00;18925.0000000;22049.0000000;18912.0000000;22000.0000000;9353498
20190201;00:00;22000.0000000;22248.0000000;20236.0000000;20830.0000000;10904173
20190301;00:00;20840.0000000;21002.0000000;19600.0000000;20375.0000000;6740376
20190401;00:00;20375.0000000;23620.0000000;20375.0000000;21545.0000000;14244127
20190501;00:00;21538.0000000;22487.0000000;21189.0000000;21815.0000000;11450941
20190601;00:00;21849.0000000;24988.0000000;21733.0000000;24282.0000000;6467152
20190701;00:00;24299.0000000;24955.0000000;23150.0000000;23445.0000000;8430261
20190801;00:00;23440.0000000;23505.0000000;21456.0000000;22514.0000000;8892034
20190901;00:00;22501.0000000;24198.0000000;22291.0000000;23122.0000000;5126101
20191001;00:00;23132.0000000;24520.0000000;22530.0000000;23716.0000000;7942730
20191101;00:00;23713.0000000;24556.0000000;23291.0000000;23487.0000000;5866546
